datetime,high,moderately_high,normal,moderately_low,low,very_low,2018_2019,2019_2020,high_change,high_pct_change,moderately_high_change,moderately_high_pct_change,normal_change,normal_pct_change,moderately_low_change,moderately_low_pct_change,low_change,low_pct_change,very_low_change,very_low_pct_change,2018_2019_change,2018_2019_pct_change,2019_2020_change,2019_2020_pct_change
2014-10-01,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,76.95883913613325,80.56583933657072,,,,,,,,,,,,,,,,
2014-10-08,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,76.06873444033926,79.89147029310702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.890104695793994,-0.011565983917967926,-0.6743690434636989,-0.008370409208380059
2014-10-15,90.99,86.4,82.04,78.74,71.9,61.906,74.55246559937359,78.97670117396412,-3.2550000000000097,-0.03453764125417802,-0.6387499999999875,-0.0073386853556604015,-3.7669999999999817,-0.04390084725022414,-0.9549999999999983,-0.011983185896229376,-0.4474999999999909,-0.006185424513632021,-2.3185000000000073,-0.03609993071180018,-1.5162688409656653,-0.019932878496287776,-0.9147691191429033,-0.011450147503691999
2014-10-22,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,73.78068769407624,78.08422369820238,3.2550000000000097,0.03577316188592161,0.6387499999999875,0.007392939814814703,3.7669999999999817,0.04591662603607971,0.9549999999999983,0.012128524257048579,0.4474999999999909,0.006223922114047209,2.3185000000000073,0.03745194326882695,-0.7717779052973555,-0.01035214461510503,-0.8924774757617371,-0.011300516006560679
2014-10-29,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,73.61365647266277,77.3093237140001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16703122141346682,-0.0022638881072245542,-0.7748999842022783,-0.009923899444749362
2014-11-05,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,73.54503317833253,76.7753233381018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06862329433023717,-0.000932208745203722,-0.5340003758983016,-0.006907321785323051
2014-11-12,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,72.97971835101784,76.98390942973981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.565314827314694,-0.007686648613563274,0.20858609163801134,0.0027168376838928587
2014-11-15,97.01,85.39250000000001,81.77799999999999,76.6,73.64750000000001,59.49,72.28736613306177,68.0609766986763,2.7650000000000006,0.029338426441721133,-1.6462499999999807,-0.018913989458717917,-4.028999999999996,-0.04695421119489085,-3.094999999999999,-0.03883556057469095,1.3000000000000114,0.01796883098932245,-4.734500000000004,-0.07371797367048405,-0.6923522179560706,-0.009486912714927076,-8.922932731063511,-0.11590646405411664
2014-11-19,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,72.61633958727366,78.05290924678597,-2.7650000000000006,-0.02850221626636429,1.6462499999999807,0.01927862517199963,4.028999999999996,0.049267529164322976,3.094999999999999,0.04040469973890337,-1.3000000000000114,-0.01765165144777503,4.734500000000004,0.0795848041687679,0.3289734542118907,0.0045509121691658105,9.991932548109673,0.14680853894216894
2014-11-26,94.245,87.03875,85.80699999999999,79.695,72.3475,64.2245,71.85873592020467,78.19889765638027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7576036670689916,-0.010432964142436107,0.14598840959429538,0.0018703775554695934
