"'DateTime","'High","'Moderately High","'Normal","'Moderately Low","'Low","'Very Low","'2024/2025","'2025/2026"
"'2020-10-01 00:00:00",,,,,,,64.67352108683313,63.92671981277517
"'2020-10-08 00:00:00",,,,,,,63.82768746991096,63.278295245011385
"'2020-10-15 00:00:00",90.99,84.02000000000001,79.47,70.61,64.17,61.1,62.86761698585761,62.63293031457443
"'2020-10-22 00:00:00",,,,,,,61.85700004433352,61.8518486141404
"'2020-10-29 00:00:00",,,,,,,60.94619596539987,61.12830682792413
"'2020-11-05 00:00:00",,,,,,,60.117315236931454,60.94738235538375
"'2020-11-12 00:00:00",,,,,,,59.450033312581915,61.56555397855882
"'2020-11-15 00:00:00",97.01,83.98249999999999,77.818,69.402,61.73,58.628
"'2020-11-19 00:00:00",,,,,,,58.61962276545009,62.35344181100558
"'2020-11-26 00:00:00",,,,,,,58.229300460756406,62.540547999777715
"'2020-12-03 00:00:00",,,,,,,57.387119676153006,62.368833660006864
"'2020-12-10 00:00:00",,,,,,,56.56236009183907,62.57454743905234
"'2020-12-15 00:00:00",98.3,83.36500000000001,80.67,66.3,60.11,57.87
"'2020-12-17 00:00:00",,,,,,,59.3991122056426,63.87514306926582
"'2020-12-24 00:00:00",,,,,,,59.27329242577414,66.03755736039469
"'2020-12-31 00:00:00",,,,,,,59.21865604493796,68.44293183190477
"'2021-01-07 00:00:00",,,,,,,59.30857191739979,70.9526774012065
"'2021-01-14 00:00:00",,,,,,,60.27207668824857,74.11140951247489
"'2021-01-15 00:00:00",97.4,85.0925,82.648,76.876,60.33,57.008
"'2021-01-21 00:00:00",,,,,,,61.24001481114233,76.65605992393367
"'2021-01-28 00:00:00",,,,,,,61.90167699346299,80.25946973363048
"'2021-02-04 00:00:00",,,,,,,61.9882210207075,85.68689170195137
"'2021-02-11 00:00:00",,,,,,,62.61163773644285,87.57481281575926
"'2021-02-15 00:00:00",98.7,86.64,85.838,80.71,63.94,58.791
"'2021-02-18 00:00:00",,,,,,,64.06996079293312,86.78127402049458
"'2021-02-25 00:00:00",,,,,,,64.83162316257851,86.14618072965482
"'2021-03-04 00:00:00",,,,,,,65.52928291467298,85.96943984284704
"'2021-03-11 00:00:00",,,,,,,65.87277403579276,85.57552714741271
"'2021-03-15 00:00:00",94.56,89.1625,85.97,80.1,66.9625,64.49099999999999
"'2021-03-18 00:00:00",,,,,,,66.34470748306116,85.32807117340838
"'2021-03-25 00:00:00",,,,,,,66.85357512377482,85.48395657313127
"'2021-04-01 00:00:00",,,,,,,67.0244777230304,85.90983935655203
"'2021-04-08 00:00:00",,,,,,,67.31576768485986,85.96147854163948
"'2021-04-15 00:00:00",93.9,89.74499999999999,86.564,79.858,73.2075,67.63600000000001,67.8956313998715,85.64558659803922
"'2021-04-22 00:00:00",,,,,,,68.84330723067231,85.28751536843342
"'2021-04-29 00:00:00",,,,,,,69.50150390540851,85.1512678450225
"'2021-05-06 00:00:00",,,,,,,70.50437809124837,85.03959108259336
"'2021-05-13 00:00:00",,,,,,,70.69507467076117,84.91139852275715
"'2021-05-15 00:00:00",93.5,89.29,86.5,78.476,73.4525,68.5
"'2021-05-20 00:00:00",,,,,,,70.4788394858061,84.69172905100665
"'2021-05-27 00:00:00",,,,,,,70.21583555885525,84.48810706482747
"'2021-06-03 00:00:00",,,,,,,69.97746483446427,84.19144712728155
"'2021-06-10 00:00:00",,,,,,,69.73909411007327,83.95039141503231
"'2021-06-15 00:00:00",95.6,88.845,86.364,76.288,72.4975,67.8
"'2021-06-17 00:00:00",,,,,,,69.50072338568228,83.75448096374829
"'2021-06-24 00:00:00",,,,,,,69.30393875230487,83.47074643286876
"'2021-07-01 00:00:00",,,,,,,69.15788790113251,83.46593843135517
"'2021-07-08 00:00:00",,,,,,,68.9761204672878,83.607836917584
"'2021-07-15 00:00:00",93.93,87.75500000000001,86.246,75.334,71.1525,66.59100000000001,69.01592697332558,83.30483915986106
"'2021-07-22 00:00:00",,,,,,,68.88720366007554,82.91286215334777
"'2021-07-29 00:00:00",,,,,,,68.46375609820062,82.53081335775215
"'2021-08-05 00:00:00",,,,,,,68.03624983374931,82.06481186040313
"'2021-08-12 00:00:00",,,,,,,67.67889668229164,81.70468005872006
"'2021-08-15 00:00:00",93.6,86.4325,84.37,73.958,69.58,65.312
"'2021-08-19 00:00:00",,,,,,,67.23977628431399,81.42185093072294
"'2021-08-26 00:00:00",,,,,,,66.76034984767377,81.14742019498009
"'2021-09-02 00:00:00",,,,,,,66.44292808541009,80.81317042741884
"'2021-09-09 00:00:00",,,,,,,66.01386078150631,80.38291673353119
"'2021-09-15 00:00:00",93.7,84.82499999999999,82,71.818,67.1,63.703
"'2021-09-16 00:00:00",,,,,,,65.45791219090638,79.8030217977305
"'2021-09-23 00:00:00",,,,,,,64.76668392135608,79.10611134457324
"'2021-09-30 00:00:00",,,,,,,64.02465942802267,78.70467443897805
"'2021-10-07 00:00:00",,,,,,,63.36384020700633,78.99162471112966
"'2021-10-14 00:00:00",,,,,,,62.73399200872684,79.19758825648753
"'2021-10-15 00:00:00",90.99,82.935,79.106,72.04,64.29,61.19
"'2021-10-21 00:00:00",,,,,,,61.97744984848551,78.70033474930018
"'2021-10-28 00:00:00",,,,,,,61.2020191108694,78.27301580958316
"'2021-11-04 00:00:00",,,,,,,60.90938665511082,78.06976847287257
"'2021-11-11 00:00:00",,,,,,,61.41016811146072,77.96452319298757
"'2021-11-15 00:00:00",97.01,83.5925,77.8,71.142,62.129999999999995,58.66
"'2021-11-18 00:00:00",,,,,,,62.29799368965412,77.708668826729
"'2021-11-25 00:00:00",,,,,,,62.552099691725935,77.80957441693616
"'2021-12-02 00:00:00",,,,,,,62.41066951733284,79.35128820097695
"'2021-12-09 00:00:00",,,,,,,62.450195036269186,82.52744151253484
"'2021-12-15 00:00:00",98.3,83.6,80.936,67.364,60.302499999999995,58.004
"'2021-12-16 00:00:00",,,,,,,63.60739358237949,86.5794316192912
"'2021-12-23 00:00:00",,,,,,,65.67374150560383,90.45536769659887
"'2021-12-30 00:00:00",,,,,,,68.12622814778922,93.05780778858781
"'2022-01-06 00:00:00",,,,,,,70.53837753052301,93.32209176788967
"'2022-01-13 00:00:00",,,,,,,73.61090904322644,93.5817238496232
"'2022-01-15 00:00:00",97.4,86.1,83.17,77.21,60.955,57.26
"'2022-01-20 00:00:00",,,,,,,76.4751978929714,95.18310056153712
"'2022-01-27 00:00:00",,,,,,,79.29946169115522,94.75334640027424
"'2022-02-03 00:00:00",,,,,,,85.1577305483557,93.90170571658892
"'2022-02-10 00:00:00",,,,,,,87.65102276182847,93.77619814461094
"'2022-02-15 00:00:00",98.7,87.35249999999999,86.078,81.436,64.1,58.923
"'2022-02-17 00:00:00",,,,,,,86.9441528769645,93.25493585064476
"'2022-02-24 00:00:00",,,,,,,86.14068587078215,92.87778871892985
"'2022-03-03 00:00:00",,,,,,,86.03565913642048,92.82255914310173
"'2022-03-10 00:00:00",,,,,,,85.61851817393352,93.62081227751285
"'2022-03-15 00:00:00",94.56,90.04,86.102,80.72800000000001,69.11,64.602
"'2022-03-17 00:00:00",,,,,,,85.35323512938207,94.46411701052203
"'2022-03-24 00:00:00",,,,,,,85.39844283192538,94.50560943916848
"'2022-03-31 00:00:00",,,,,,,85.88186552956391,94.31010485814211
"'2022-04-07 00:00:00",,,,,,,85.98155350899815,94.59327741481876
"'2022-04-14 00:00:00",,,,,,,85.72413810328712,95.80767244646728
"'2022-04-15 00:00:00",96.3,90.01,86.916,80.248,73.41499999999999,67.76599999999999
"'2022-04-21 00:00:00",,,,,,,85.30215791849751,96.47389286398914
"'2022-04-28 00:00:00",,,,,,,85.17718109993339,96.07582780361125
